MSSubClass,MSZoning,LotArea,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,MiscVal,SaleType,SaleCondition,SalePrice,YearBuilt_Old,YearRemodAdd_Old,GarageYrBlt_Old,YrSold_Old
60,RL,8450,3,Lvl,Inside,0,CollgCr,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,196.0,3,2,PConc,4,3,1,6,706,1,0,150,856,GasA,4,1,SBrkr,856,854,0,1710,1,0,2,1,3,1,3,8,Typ,0,Attchd,2,2,548,3,3,Y,0,61,0,0,0,0,WD,Normal,208500,7,7,7.0,2
20,RL,9600,3,Lvl,FR2,0,Veenker,Feedr,Norm,1Fam,1Story,6,8,Gable,CompShg,MetalSd,MetalSd,None,0.0,2,2,CBlock,4,3,4,5,978,1,0,284,1262,GasA,4,1,SBrkr,1262,0,0,1262,0,1,2,0,3,1,2,6,Typ,1,Attchd,2,2,460,3,3,Y,298,0,0,0,0,0,WD,Normal,181500,34,34,34.0,3
60,RL,11250,0,Lvl,Inside,0,CollgCr,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,162.0,3,2,PConc,4,3,2,6,486,1,0,434,920,GasA,4,1,SBrkr,920,866,0,1786,1,0,2,1,3,1,3,6,Typ,1,Attchd,2,2,608,3,3,Y,0,42,0,0,0,0,WD,Normal,223500,9,8,9.0,2
70,RL,9550,0,Lvl,Corner,0,Crawfor,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,Wd Sdng,Wd Shng,None,0.0,2,2,BrkTil,3,4,1,5,216,1,0,540,756,GasA,3,1,SBrkr,961,756,0,1717,1,0,1,0,3,1,3,7,Typ,1,Detchd,1,3,642,3,3,Y,0,35,272,0,0,0,WD,Abnorml,140000,95,40,12.0,4
60,RL,14260,0,Lvl,FR2,0,NoRidge,Norm,Norm,1Fam,2Story,8,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,350.0,3,2,PConc,4,3,3,6,655,1,0,490,1145,GasA,4,1,SBrkr,1145,1053,0,2198,1,0,2,1,4,1,3,9,Typ,1,Attchd,2,3,836,3,3,Y,192,84,0,0,0,0,WD,Normal,250000,10,10,10.0,2
50,RL,14115,0,Lvl,Inside,0,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,2,Wood,4,3,1,6,732,1,0,64,796,GasA,4,1,SBrkr,796,566,0,1362,1,0,1,1,1,1,2,5,Typ,0,Attchd,1,2,480,3,3,Y,40,30,0,320,0,700,WD,Normal,143000,17,15,17.0,1
20,RL,10084,3,Lvl,Inside,0,Somerst,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,Stone,186.0,3,2,PConc,5,3,3,6,1369,1,0,317,1686,GasA,4,1,SBrkr,1694,0,0,1694,1,0,2,0,3,1,3,7,Typ,1,Attchd,2,2,636,3,3,Y,255,57,0,0,0,0,WD,Normal,307000,6,5,6.0,3
60,RL,10382,0,Lvl,Corner,0,NWAmes,PosN,Norm,1Fam,2Story,7,6,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,2,2,CBlock,4,3,2,5,859,4,32,216,1107,GasA,4,1,SBrkr,1107,983,0,2090,1,0,2,1,3,1,2,7,Typ,2,Attchd,2,2,484,3,3,Y,235,204,228,0,0,350,WD,Normal,200000,37,37,37.0,1
50,RM,6120,3,Lvl,Inside,0,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,Gable,CompShg,BrkFace,Wd Shng,None,0.0,2,2,BrkTil,3,3,1,1,0,1,0,952,952,GasA,3,1,FuseF,1022,752,0,1774,0,0,2,0,2,2,2,8,Min1,2,Detchd,1,2,468,2,3,Y,90,0,205,0,0,0,WD,Abnorml,129900,79,60,79.0,2
190,RL,7420,3,Lvl,Corner,0,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,Gable,CompShg,MetalSd,MetalSd,None,0.0,2,2,BrkTil,3,3,1,6,851,1,0,140,991,GasA,4,1,SBrkr,1077,0,0,1077,1,0,1,0,2,2,2,5,Typ,2,Attchd,2,1,205,4,3,Y,0,4,0,0,0,0,WD,Normal,118000,71,60,71.0,2
